id,nome,descricao,valor
61,customer,Hospital increase safe suddenly one small choice.,235.0
62,beat,"Fight theory follow training.
Product live feel interest. Somebody project young represent.
But already attention since few share third. Indeed ten customer along early strong suddenly.",565.0
63,at,"Song leave heavy simply.
Effect last billion I work rise seven. Home table issue ability score number.",258.0
64,something,"Their against along. Thank religious kitchen newspaper.
Team build boy field manager apply traditional bill.",410.0
65,much,Of accept social myself great natural star. Hold else behavior teach newspaper fight fine. Charge money many grow public.,274.0
66,model,"Phone hundred question process seem first. Response perhaps book end stop knowledge soldier.
Floor actually condition sometimes key. Find economic ever mouth name line. Class painting consumer form.",167.0
67,standard,Religious everyone boy sense. Summer woman scientist drug company suggest candidate. Recently resource wind effect who across.,456.0
68,seem,"Boy focus put even material also material. Popular two join skin though. We whether defense rather. Once away year per.
Three plan fire each project base spend seem. With economy onto.",639.0
69,spring,"Glass standard family already perform relationship. Myself experience down brother image exist high.
Scene by stage opportunity. Fly PM price want soon everything. Bed drop line all choice.",344.0
70,hotel,"Themselves enough need. Stuff drive door. Several subject expert east think.
Movement single already among. Themselves do government.",134.0
71,turn,"Rate opportunity fear daughter. Other reveal although foot.
Them seem letter notice. Season executive common size such. Stop with outside significant paper push.",528.0
72,college,"Save family article. That box after firm wife Mrs data.
Card idea industry million yeah dream.",116.0
73,anything,Someone south discover gas your senior. Court service economy management consumer discuss. Natural protect your research style like fish.,574.0
74,approach,"Himself now conference next. Half mind ten authority management. Several provide usually happy.
Bar shoulder other report. Natural detail send conference camera.",821.0
75,institution,"Soon everyone paper. Meeting special would. Send someone page leg peace participant peace.
Forward ok yes together husband. Society here fill third yard former. Full theory present product.",149.0
76,spring,"Simply music feeling. Practice actually thing. Individual Mr green may ten.
Nothing page drop enjoy news social teach everybody. Create whose business unit doctor. Cultural cup together station.",859.0
77,region,Debate attorney start statement. Up meet student possible people well hotel scientist.,740.0
78,accept,"Situation sure throw son. After forward at watch treatment.
Strategy teach how drug around public. Wait if open upon very source attorney. Name send need Democrat.",567.0
79,writer,"Pattern interest call machine but.
International thus mind drive respond coach. Business technology future space country company.",821.0
80,down,"Home teacher suffer company talk add. Defense they their. Task why think throw among. Common business evidence big easy a worker.
Race red push put before use. Radio different sit read page often.",801.0
81,identify,"Whole able become. Us address board better agent.
Teacher generation office wide call citizen white. For health national cold. Wife seat wear owner worry sometimes cost.",155.0
82,boy,Theory collection just treatment response attention. Price available final suggest mother. Board head travel community.,612.0
83,great,Out without affect plan investment. Different suffer fill free. Media perhaps edge hold. Among television staff each mouth.,484.0
84,medical,"Stuff science interest close. City glass record argue little mind. Piece free I yourself expect.
Run yard property husband degree specific. Service major age follow.",594.0
85,above,"Experience really soon tough. Into person summer green minute walk.
Before action charge heavy common choice send. Investment detail rule challenge wall.",265.0
86,worker,"Step stock politics determine represent.
Product image else everyone company every environmental he. Particularly certain brother guy town it.",873.0
87,task,College protect smile human situation. Happen grow health use. Consider school full arrive very. Data buy expect best character single.,639.0
88,play,"Evidence arm no trouble beyond central really single. Democrat reach eye most.
Air behavior parent around why age building. Than although yourself behavior.",897.0
89,ahead,"Lay analysis office model main. Recent decade might believe.
Most lose rock. Hit determine decision out view hot. Method ten computer investment authority arm wish medical.",775.0
90,during,"Fish culture church always wear high. Against quite main those resource respond.
Red set morning stock. Will increase make wish.",288.0
91,since,"Woman food thus outside rest. Coach room base reality amount data stand stage. Real TV morning computer collection difficult perhaps.
Effort environment part easy officer.",286.0
92,religious,Expect agreement for pretty five spring. Cover often spring knowledge act space after. Coach difficult beyond analysis lawyer improve.,373.0
93,reality,Everybody kind now your pattern computer. Positive science share want today home street. Need strong interesting sure.,820.0
94,single,Here car fill change brother spring religious. They though cell week main. Care nation other himself drive condition look.,995.0
95,might,"Begin western fall free pass such. Throw concern little property ever religious piece.
Energy inside tell character worker. Statement follow back tonight group quite clearly.",450.0
96,speech,"Market level body area. Bar dark keep race board.
Final yeah pass. Successful form remember in.",409.0
97,apply,"Appear continue fine in decision so. Concern next miss man run. International generation we employee.
Effect listen someone suddenly body ask. This should else.",740.0
98,music,Mention so ever shake government set live high. Hair show full position sense might. Around without project most cover car pull.,278.0
99,officer,"Religious partner each toward to why watch month. Suddenly book specific season. Write billion major.
Girl ready animal store let people. Vote spend second race.",671.0
100,red,"Instead administration police case. Sort participant buy building. Positive high can.
Play fly imagine property generation.",125.0
101,a,"Along sure within respond coach instead. Message carry service fund prove.
North reveal ability form drug southern try. Service which blue expect article cell. Music clear less use treatment.",177.0
102,wrong,Back management along rest approach. Improve lead cup not. College yet oil.,794.0
103,address,"Stand use environment property unit. Half thousand join state hard which.
Like memory land billion food body. Perhaps friend most. Example clearly politics discussion remain evidence out standard.",566.0
104,these,"Hair small sport avoid buy cultural. Special early activity seek month my however fear. Relate color drop country.
Produce sit ahead once. Discussion these talk growth president deep.",883.0
105,quickly,Though letter down work lawyer according. Source office world some resource. Old ask value number message.,887.0
106,upon,Work respond play four husband nor trip statement. Point entire inside happen listen case. Action friend fight face impact describe.,593.0
107,western,Attorney activity week above first camera song such. Institution then cultural character full.,313.0
108,special,"Pressure until doctor anything plant other. Today ever performance believe main wrong wind.
Relate writer station threat increase turn cut. Enjoy put term.",436.0
109,glass,"Court plant peace trouble eye American church five. Or many risk possible scene tell. Such activity radio.
Hotel hundred serious use. Section oil run lead board commercial.",278.0
110,him,"Southern point brother opportunity around. Tv day door first pattern.
Though left support interview. Cut minute bag. Current scene ago small push.",994.0
